name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,award_id,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff
Barry Collier (politician),Male,Yes,OAM,NSW,2017-01-25,2017,Post,https://en.wikipedia.org/wiki/Barry_Collier_(politician),1957131,1154906,2005-05-29,2017-01-25,2005,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,"For service to the Parliament of New South Wales, to the law, and to education.",Australian politician,1,2017-01-25,2017,2005,-4259,-12,2005-W21,2017-W04,-609
Barry Conyngham,Male,Yes,AM,NSW,1997-06-08,1997,Pre,https://en.wikipedia.org/wiki/Barry_Conyngham,23057910,870197,2009-06-02,1997-06-08,2009,1997,Member of the Order of Australia,The Queen's Birthday 1997 Honours List,G,FOR SERVICE TO MUSIC AS A COMPOSER AND TO MUSIC EDUCATION AND ADMINISTRATION. AM S191 1997,Australian composer,1,2001-01-15,2001,2009,3060,8,2009-W23,2001-W03,437
Barry Coulter,Male,Yes,AO,NT,2019-01-25,2019,Post,https://en.wikipedia.org/wiki/Barry_Coulter,29416828,2003336,2010-10-31,2019-01-25,2010,2019,Officer of the Order of Australia,Australia Day 2019 Honours List,G,"For distinguished service to the government and the community of the Northern Territory, and to business.",Australian politician,1,2019-01-25,2019,2010,-3008,-9,2010-W43,2019-W04,-430
Barry Crocker,Male,Yes,AM,NSW,1987-06-07,1987,Pre,https://en.wikipedia.org/wiki/Barry_Crocker,2565495,870123,2005-08-29,1987-06-07,2005,1987,Member of the Order of Australia,The Queen's Birthday 1987 Honours List,G,In recognition of service to the performing arts and to the community,1935- Australian singer and actor,1,2001-01-15,2001,2005,1687,4,2005-W35,2001-W03,241
Barry Gibb,Male,Yes,AC,Other,2022-01-27,2022,Post,https://en.wikipedia.org/wiki/Barry_Gibb,168335,2010832,2003-01-13,2022-01-27,2003,2022,Companion of the Order of Australia,Honorary Appointment and Awards - January 2022,HG,"For eminent service to the performing arts as a musician, songwriter and record producer, to the advancement of Australian music artists, and to philanthropy.","British singer, songwriter, record producer, and co-founder of the group Bee Gees",1,2022-01-27,2022,2003,-6954,-19,2003-W03,2022-W04,-994
Barry Gration,Male,Yes,AO,Other,1988-06-12,1988,Pre,https://en.wikipedia.org/wiki/Barry_Gration,24617382,879714,2009-10-08,1988-06-12,2009,1988,Officer of the Order of Australia,The Queen's Birthday 1988 Honours List,M,"In recognition of service to the RAAF as Head of the Australian Defence Staff, Washington, USA",former Chief of the RAAF,1,2001-01-15,2001,2009,3188,8,2009-W41,2001-W03,455
Barry House,Male,Yes,AM,WA,2019-01-25,2019,Post,https://en.wikipedia.org/wiki/Barry_House,17549344,2003341,2008-05-22,2019-01-25,2008,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,"For significant service to the people and Parliament of Western Australia, and to the community of the South West.",Australian politician,1,2019-01-25,2019,2008,-3900,-11,2008-W21,2019-W04,-558
Barry Humphries,Male,Yes,AO,NSW,1982-06-13,1982,Pre,https://en.wikipedia.org/wiki/Barry_Humphries,370482,869869,2003-11-18,1982-06-13,2003,1982,Officer of the Order of Australia,The Queen's Birthday 1982 Honours List,G,For service to the theatre.,Australian comedian and actor,1,2001-01-15,2001,2003,1037,2,2003-W47,2001-W03,148
Barry Hunter (bishop),Male,Yes,AM,NSW,1992-01-25,1992,Pre,https://en.wikipedia.org/wiki/Barry_Hunter_(bishop),29128533,885842,2010-10-09,1992-01-25,2010,1992,Member of the Order of Australia,Australia Day 1992 Honours List,G,For service to religion.,Australian bishop,1,2001-01-15,2001,2010,3554,9,2010-W40,2001-W03,507
Barry Jarman,Male,Yes,OAM,SA,1997-06-08,1997,Pre,https://en.wikipedia.org/wiki/Barry_Jarman,1553666,887570,2005-02-28,1997-06-08,2005,1997,Medal of the Order of Australia,The Queen's Birthday 1997 Honours List,G,"FOR SERVICE TO SPORT AS A CRICKET PLAYER, COACH AND INTERNATIONAL CRICKET REFEREE AND TO HORSE RACING IN SOUTH AUSTRALIA. OAM S191 1997",Australian cricketer,1,2001-01-15,2001,2005,1505,4,2005-W09,2001-W03,215
Barry Jones (Australian politician),Male,Yes,AC,VIC,2014-06-08,2014,Post,https://en.wikipedia.org/wiki/Barry_Jones_(Australian_politician),1971538,1149931,2005-06-01,2014-06-08,2005,2014,Companion of the Order of Australia,The Queen's Birthday 2014 Honours List,G,"For eminent service to the community as a leading intellectual in Australian public life, through contributions to scientific, heritage, musical, medical, political and public health organisations, and to the Australian Parliament.",Australian politician,1,2014-06-08,2014,2005,-3294,-9,2005-W22,2014-W23,-471
Barry MacKinnon,Male,Yes,AM,WA,1997-01-25,1997,Pre,https://en.wikipedia.org/wiki/Barry_MacKinnon,37547339,880682,2012-11-05,1997-01-25,2012,1997,Member of the Order of Australia,Australia Day 1997 Honours List,G,"AM. FOR SERVICE TO PEOPLE WITH HEARING IMPAIRMENT THROUGH THE DISABILITY SERVICES COMMISSION, THE SPEECH AND HEARING CENTRE FOR DEAF CHILDREN AND THE DEAFNESS COUNCIL OF WESTERN AUSTRALIA. GAZ S13. AUST DAY 1997",Australian politician,1,2001-01-15,2001,2012,4312,11,2012-W45,2001-W03,616
Barry Maddern,Male,Yes,AC,VIC,1992-06-07,1992,Pre,https://en.wikipedia.org/wiki/Barry_Maddern,43211238,885291,2014-07-04,1992-06-07,2014,1992,Companion of the Order of Australia,The Queen's Birthday 1992 Honours List,G,AC/QB 1992 (GENERAL DIVISION). FOR SERVICE TO INDUSTRIAL RELATIONS AS PRESIDENT OF THE AUSTRALIAN INDUSTRIAL RELATIONS COMMISSION,Australian lawyer,1,2001-01-15,2001,2014,4918,13,2014-W27,2001-W03,702
Barry Marshall,Male,Yes,AC,WA,2007-01-25,2007,Post,https://en.wikipedia.org/wiki/Barry_Marshall,397110,1133678,2003-12-11,2007-01-25,2003,2007,Companion of the Order of Australia,Australia Day 2007 Honours List,G,"For service to medicine and to medical research, particularly through the discovery of the bacterium Helicobacter Pylori and its role in gastritis and peptic ulcer disease.","Nobel Prize winner, and Professor of Clinical Microbiology",1,2007-01-25,2007,2003,-1141,-4,2003-W50,2007-W04,-163
Barry Ninham,Male,Yes,AO,ACT,2014-06-08,2014,Post,https://en.wikipedia.org/wiki/Barry_Ninham,52719983,1149968,2016-12-29,2014-06-08,2016,2014,Officer of the Order of Australia,The Queen's Birthday 2014 Honours List,G,"For distinguished service to physical sciences through landmark theoretical and practical advances in colloids and surfaces, and as an academic, educator and mentor.",Australian physicist and emeritus professor of physical chemistry,1,2014-06-08,2014,2016,935,2,2016-W52,2014-W23,133
Barry O'Farrell,Male,Yes,AO,NSW,2020-01-25,2020,Post,https://en.wikipedia.org/wiki/Barry_O%27Farrell,2565766,2005974,2005-08-29,2020-01-25,2005,2020,Officer of the Order of Australia,Australia Day 2020 Honours List,G,"For distinguished service to the people and Parliament of New South Wales, particularly as Premier, and to the community.",43rd Premier of New South Wales and Minister for Western Sydney 2011–2014,1,2020-01-25,2020,2005,-5262,-15,2005-W35,2020-W04,-752
Barry O'Keefe,Male,Yes,AM,NSW,1989-01-25,1989,Pre,https://en.wikipedia.org/wiki/Barry_O%27Keefe,42838649,882454,2014-05-23,1989-01-25,2014,1989,Member of the Order of Australia,Australia Day 1989 Honours List,G,AM AD89. FOR SERVICE TO LOCAL GOVERNMENT,Australian queen's counsel,1,2001-01-15,2001,2014,4876,13,2014-W21,2001-W03,696
Barry Roycroft,Male,Yes,AM,VIC,2016-01-25,2016,Post,https://en.wikipedia.org/wiki/Barry_Roycroft,63797951,1152842,2020-04-29,2016-01-25,2020,2016,Member of the Order of Australia,Australia Day 2016 Honours List,G,"For significant service to equestrian sports, as an administrator, coach and competitor.",Australian equestrian,1,2016-01-25,2016,2020,1556,4,2020-W18,2016-W04,222
Barry Shepherd,Male,Yes,OAM,WA,1999-06-13,1999,Pre,https://en.wikipedia.org/wiki/Barry_Shepherd,3597193,887167,2006-01-03,1999-06-13,2006,1999,Medal of the Order of Australia,The Queen's Birthday 1999 Honours List,G,OAM. FOR SERVICE TO CRICKET AS A PLAYER AND ADMINISTRATOR. GAZ S214. QB 1999,Australian sportsman (1937-2001),1,2001-01-15,2001,2006,1814,5,2006-W01,2001-W03,259
Barry Tuckwell,Male,Yes,AC,Other,1992-01-25,1992,Pre,https://en.wikipedia.org/wiki/Barry_Tuckwell,2458926,870234,2005-08-15,1992-01-25,2005,1992,Companion of the Order of Australia,Australia Day 1992 Honours List,G,"AC/AUST DAY 1992 (GENERAL DIVISION). FOR SERVICE TO MUSIC, PARTICULARLY AS A PERFORMER ON THE FRENCH HORN. 6 CHESTER PLACE, REGENTS PARK, LONDON, UNITED KINGDOM NS1 4NB",Australian horn player,1,2001-01-15,2001,2005,1673,4,2005-W33,2001-W03,239
Barry Wakelin,Male,Yes,OAM,SA,2011-01-25,2011,Post,https://en.wikipedia.org/wiki/Barry_Wakelin,634191,1143845,2004-05-04,2011-01-25,2004,2011,Medal of the Order of Australia,Australia Day 2011 Honours List,G,"For service to the Parliament of Australia, and to rural and regional areas.",Australian politician,1,2011-01-25,2011,2004,-2457,-7,2004-W19,2011-W04,-351
Barry Wilde,Male,Yes,OAM,NSW,2016-01-25,2016,Post,https://en.wikipedia.org/wiki/Barry_Wilde,27215798,1153249,2010-05-04,2016-01-25,2010,2016,Medal of the Order of Australia,Australia Day 2016 Honours List,G,"For service to the Parliament of New South Wales, and to the community of Parramatta.",Australian politician (1928-2018),1,2016-01-25,2016,2010,-2092,-6,2010-W18,2016-W04,-299
Bart Cummings,Male,Yes,AM,NSW,1982-06-13,1982,Pre,https://en.wikipedia.org/wiki/Bart_Cummings,1758185,886316,2005-04-18,1982-06-13,2005,1982,Member of the Order of Australia,The Queen's Birthday 1982 Honours List,G,In recognition of service to the sport of horse racing,Australian horse trainer,1,2001-01-15,2001,2005,1554,4,2005-W16,2001-W03,222
Basil Hennessy,Male,Yes,AO,NSW,1990-01-25,1990,Pre,https://en.wikipedia.org/wiki/Basil_Hennessy,708592,882037,2004-06-08,1990-01-25,2004,1990,Officer of the Order of Australia,Australia Day 1990 Honours List,G,OFFICER/ AUST DAY 1990 FOR SERVICE TO ARCHAEOLOGY AND TO INTERNATIONAL RELATIONS,Australian archaeologist (1925-2013),1,2001-01-15,2001,2004,1240,3,2004-W24,2001-W03,177
Basil Hetzel,Male,Yes,AC,SA,1990-06-10,1990,Pre,https://en.wikipedia.org/wiki/Basil_Hetzel,2172663,883280,2005-07-05,1990-06-10,2005,1990,Companion of the Order of Australia,The Queen's Birthday 1990 Honours List,G,AC QB 1990. FOR SERVICE TO AUST AND WORLD HEALTH PARTICULARLY IN THE FIELD OF HUMAN NUTRITION,Australian medical researcher,1,2001-01-15,2001,2005,1632,4,2005-W27,2001-W03,233
Basil Travers,Male,Yes,AM,NSW,1983-06-12,1983,Pre,https://en.wikipedia.org/wiki/Basil_Travers,20838312,881528,2008-12-26,1983-06-12,2008,1983,Member of the Order of Australia,The Queen's Birthday 1983 Honours List,G,AM QB83 GEN DIV. OBE 15/4/44 MILITARY. FOR SERVICE TO EDUCATION,Australian sportsman and educator (1919-1998),1,2001-01-15,2001,2008,2902,7,2008-W52,2001-W03,414
Bea Maddock,Female,Yes,AM,TAS,1991-01-25,1991,Pre,https://en.wikipedia.org/wiki/Bea_Maddock,3018711,869872,2005-10-28,1991-01-25,2005,1991,Member of the Order of Australia,Australia Day 1991 Honours List,G,AM/AUST DAY 1991 (GENERAL DIVISION). FOR SERVICE TO ART AND TO ART EDUCATION,Australian artist (1934-2016),1,2001-01-15,2001,2005,1747,4,2005-W43,2001-W03,249
Beatrice Deloitte Davis,Female,Yes,AM,NSW,1981-01-25,1981,Pre,https://en.wikipedia.org/wiki/Beatrice_Deloitte_Davis,24915744,869858,2009-11-01,1981-01-25,2009,1981,Member of the Order of Australia,Australia Day 1981 Honours List,G,In recognition of service to literature,Australian book editor (1909-1992),1,2001-01-15,2001,2009,3212,8,2009-W44,2001-W03,458
Beatrice Faust,Female,Yes,AO,VIC,2004-01-25,2004,Post,https://en.wikipedia.org/wiki/Beatrice_Faust,10028448,1055934,2007-03-13,2004-01-25,2007,2004,Officer of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to the community in the areas of social, political and employment reform and through provoking debate and raising public awareness of issues affecting womens rights.",Australian author and women's activist,1,2004-01-25,2004,2007,1143,3,2007-W11,2004-W04,163
"Bela ""Bert"" Grof",Male,Yes,AM,QLD,2006-06-11,2006,Post,https://en.wikipedia.org/wiki/Bela_%22Bert%22_Grof,33792860,1132901,2011-11-19,2006-06-11,2011,2006,Member of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to primary industry through research and the development of sustainable tropical pasture technology to increase food production, rural incomes and scientific knowledge in Asia, Central and Southern America and Australia.",Australian agricultural researcher,1,2006-06-11,2006,2011,1987,5,2011-W46,2006-W23,283
Belinda Clark,Female,Yes,AO,VIC,2000-01-25,2000,Pre,https://en.wikipedia.org/wiki/Belinda_Clark,2114022,2000862,2005-06-26,2018-01-25,2005,2018,Officer of the Order of Australia,Australia Day 2018 Honours List,G,"For distinguished service to cricket as a player, captain and administrator, through support for national and international professional councils, and as a role model for young sportswomen.",Australian cricketer,2,2001-01-15,2001,2005,1623,4,2005-W25,2001-W03,231
Belinda Hutchinson,Female,Yes,AM,NSW,2007-06-10,2007,Post,https://en.wikipedia.org/wiki/Belinda_Hutchinson,49821889,1134745,2016-03-17,2007-06-10,2016,2007,Member of the Order of Australia,The Queen's Birthday 2007 Honours List,G,"For service to business through a range of executive roles in the finance sector, and to the development of financial planning and fundraising initiatives for cultural, medical and social welfare organisations.","Australian university administrator, businesswoman and philanthropist",1,2007-06-10,2007,2016,3203,9,2016-W11,2007-W23,457
Belinda Stowell,Female,Yes,OAM,NSW,2001-01-25,2001,Post,https://en.wikipedia.org/wiki/Belinda_Stowell,17533362,886964,2008-05-21,2001-01-25,2008,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Sydney 2000 Olympic Games.,Australian sailor,1,2001-01-25,2001,2008,2673,7,2008-W21,2001-W04,381
Ben Austin,Male,Yes,OAM,NSW,2005-01-25,2005,Post,https://en.wikipedia.org/wiki/Ben_Austin,4432046,1057741,2006-03-18,2005-01-25,2006,2005,Medal of the Order of Australia,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Paralympic Games.,Australian paralympic swimmer,1,2005-01-25,2005,2006,417,1,2006-W11,2005-W04,59
Ben Cropp,Male,Yes,AM,QLD,1999-01-25,1999,Pre,https://en.wikipedia.org/wiki/Ben_Cropp,6841019,878227,2006-09-05,1999-01-25,2006,1999,Member of the Order of Australia,Australia Day 1999 Honours List,G,"FOR SERVICE TO MARINE AND COASTAL CONSERVATION, AND TO THE PROMOTION AND AWRENESS OF THE AUSTRALIAN MARINE ENVIRONMENT AS A DOCUMENTARY FILM MAKER. AM S16 1999","documentary filmmaker, conservationist",1,2001-01-15,2001,2006,2059,5,2006-W36,2001-W03,294
Ben Cuimermara Taylor,Male,Yes,AM,WA,2013-01-25,2013,Post,https://en.wikipedia.org/wiki/Ben_Cuimermara_Taylor,50221152,1146852,2016-04-18,2013-01-25,2016,2013,Member of the Order of Australia,Australia Day 2013 Honours List,G,For significant service to the Indigenous community of Western Australia through contributions to a range of social justice and humanitarian rights issues.,Australian activist,1,2013-01-25,2013,2016,1179,3,2016-W16,2013-W04,168
Ben Fawcett,Male,Yes,OAM,VIC,2017-01-25,2017,Post,https://en.wikipedia.org/wiki/Ben_Fawcett,40592158,1154961,2013-09-21,2017-01-25,2013,2017,Medal of the Order of Australia,Australia Day 2017 Honours List,G,For service to sport as a gold medallist at the Rio 2016 Paralympic Games.,Australian wheelchair rugby player,1,2017-01-25,2017,2013,-1222,-4,2013-W38,2017-W04,-175
Ben Gannon (producer),Male,Yes,AO,NSW,2006-06-11,2006,Post,https://en.wikipedia.org/wiki/Ben_Gannon_(producer),8751552,1132821,2007-01-04,2006-06-11,2007,2006,Officer of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to the performing arts as a producer contributing to the development of film, television and theatre in Australia, and in promoting Australian productions and talented actors overseas, and to the community.",Australian film producer,1,2006-06-11,2006,2007,207,1,2007-W01,2006-W23,29
Ben Gascoigne,Male,Yes,AO,ACT,1996-06-10,1996,Pre,https://en.wikipedia.org/wiki/Ben_Gascoigne,27255201,886158,2010-05-06,1996-06-10,2010,1996,Officer of the Order of Australia,The Queen's Birthday 1996 Honours List,G,"In recognition of service to observational astronomy, specialising in the life history of stars, particularly in the Magellanic Clouds and for his contribution to astronomical optics and to the Anglo-Australian Telescope",Australian optical astronomer,1,2001-01-15,2001,2010,3398,9,2010-W18,2001-W03,485
Ben Haneman,Male,Yes,AM,NSW,1988-01-25,1988,Pre,https://en.wikipedia.org/wiki/Ben_Haneman,61270540,883346,2019-07-13,1988-01-25,2019,1988,Member of the Order of Australia,Australia Day 1988 Honours List,G,AM AUST DAY 1988. FOR SERVICE TO MEDICINE AND TO THE SPANISH COMMUNITY,Australian physician and book collector,1,2001-01-15,2001,2019,6753,18,2019-W28,2001-W03,964
Ben Humphreys,Male,Yes,AM,QLD,2000-01-25,2000,Pre,https://en.wikipedia.org/wiki/Ben_Humphreys,10748409,1129696,2007-04-18,2000-01-25,2007,2000,Member of the Order of Australia,Australia Day 2000 Honours List,G,"For service to the Federal Parliament, particularly in the area of veterans' affairs.",Australian politician,1,2001-01-15,2001,2007,2284,6,2007-W16,2001-W03,326
Ben Lexcen,Male,Yes,AM,NSW,1984-01-25,1984,Pre,https://en.wikipedia.org/wiki/Ben_Lexcen,1197080,886256,2004-10-25,1984-01-25,2004,1984,Member of the Order of Australia,Australia Day 1984 Honours List,G,"AM AD84. FOR SERVICE TO YACHTING, PARTICULARLY AS DESIGNER OF AUSTRALIA II IN THE SUCCESSFUL AMERICA'S CUP CHALLENGE 1983",sailboat designer,1,2001-01-15,2001,2004,1379,3,2004-W44,2001-W03,197
Ben Macpherson,Male,Yes,OAM,NSW,2002-01-25,2002,Post,https://en.wikipedia.org/wiki/Ben_Macpherson,5502571,1132542,2006-06-10,2002-01-25,2006,2002,Medal of the Order of Australia,Australia Day 2002 Honours List,G,"For service to music as a conductor, chorus master and administrator, particularly through the Sydney University Musical Society and Intervarsity Choral Festivals.",Australian conductor,1,2002-01-25,2002,2006,1597,4,2006-W23,2002-W04,228
Ben Newton (wheelchair rugby),Male,Yes,OAM,QLD,2014-01-25,2014,Post,https://en.wikipedia.org/wiki/Ben_Newton_(wheelchair_rugby),36348260,1149355,2012-07-07,2014-01-25,2012,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,For service to sport as a gold medallist at the London 2012 Paralympic Games.,Australian male wheelchair rugby Paralympian,1,2014-01-25,2014,2012,-567,-2,2012-W27,2014-W04,-81
Ben Swane,Male,Yes,AM,NSW,2011-06-12,2011,Post,https://en.wikipedia.org/wiki/Ben_Swane,62902556,1144315,2020-01-23,2011-06-12,2020,2011,Member of the Order of Australia,The Queen's Birthday 2011 Honours List,G,"For service to horticulture and to business, to the development and promotion of the Australian native plants export trade, and through executive roles with a range of industry-based organisations.",Australian nurseryman,1,2011-06-12,2011,2020,3147,9,2020-W04,2011-W23,449
Benjamin Cox (sportsman),Male,Yes,OAM,WA,1997-01-25,1997,Pre,https://en.wikipedia.org/wiki/Benjamin_Cox_(sportsman),33031405,887476,2011-03-04,1997-01-25,2011,1997,Medal of the Order of Australia,Australia Day 1997 Honours List,G,OAM/ AUSTRALIA DAY 1991 (GENERAL DIVISION). FOR SERVICE TO VETERANS,Australian Paralympic wheelchair basketball player,1,2001-01-15,2001,2011,3700,10,2011-W09,2001-W03,528
Benjamin Hall (athlete),Male,Yes,OAM,SA,2005-01-25,2005,Post,https://en.wikipedia.org/wiki/Benjamin_Hall_(athlete),33298870,1057887,2011-10-04,2005-01-25,2011,2005,Medal of the Order of Australia,Australia Day 2005 Honours List,NA,For service to sport as a Gold Medallist at the Athens 2004 Paralympic Games.,Australian Paralympic athlete,1,2005-01-25,2005,2011,2443,6,2011-W40,2005-W04,349
Benjamin Hance,Male,Yes,OAM,QLD,2022-01-26,2022,Post,https://en.wikipedia.org/wiki/Benjamin_Hance,68406052,2010515,2021-08-05,2022-01-26,2021,2022,Medal of the Order of Australia,Australia Day 2022 Honours List,G,For service to sport as a gold medallist at the Tokyo Paralympic Games 2020.,Australian Paralympic swimmer,1,2022-01-26,2022,2021,-174,-1,2021-W31,2022-W04,-25
Benno C. Schmidt Jr.,Male,Yes,AO,Other,1991-02-07,1991,Pre,https://en.wikipedia.org/wiki/Benno_C._Schmidt_Jr.,1283964,869783,2004-12-16,1991-02-07,2004,1991,Officer of the Order of Australia,NA,HG,"For service to the arts, agricultural development and Australian/American relations.",President of Yale University,1,2001-01-15,2001,2004,1431,3,2004-W51,2001-W03,204
Bernadette Tobin,Female,Yes,AO,NSW,2016-06-12,2016,Post,https://en.wikipedia.org/wiki/Bernadette_Tobin,67286443,1153711,2021-04-03,2016-06-12,2021,2016,Officer of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For distinguished service to education and philosophy, to the development of bioethics in Australia as an academic, and as a leader of a range of public health advisory and research councils.",Ethicist,1,2016-06-12,2016,2021,1756,5,2021-W13,2016-W23,250
Bernard Bongiorno,Male,Yes,AO,VIC,2010-01-25,2010,Post,https://en.wikipedia.org/wiki/Bernard_Bongiorno,40708875,1141686,2013-10-05,2010-01-25,2013,2010,Officer of the Order of Australia,Australia Day 2010 Honours List,G,"For service to the law, particularly as a Justice of the Supreme Court of Victoria, and through leadership roles within the Italian community.",Australian judge,1,2010-01-25,2010,2013,1349,3,2013-W40,2010-W04,192
Bernard Callinan,Male,Yes,AC,VIC,1986-01-25,1986,Pre,https://en.wikipedia.org/wiki/Bernard_Callinan,35756641,885314,2012-05-09,1986-01-25,2012,1986,Companion of the Order of Australia,Australia Day 1986 Honours List,G,In recognition of service to the Public Service and the community,"Australian engineer, businessman and sports administrator",1,2001-01-15,2001,2012,4132,11,2012-W19,2001-W03,590
Bernard Carney,Male,Yes,OAM,WA,2019-06-09,2019,Post,https://en.wikipedia.org/wiki/Bernard_Carney,11117154,2003962,2007-05-08,2019-06-09,2007,2019,Medal of the Order of Australia,Queen's Birthday 2019 Honours List,G,For service to music.,Australian musician,1,2019-06-09,2019,2007,-4415,-12,2007-W19,2019-W23,-631
Bernard Heinze,Male,Yes,AC,NSW,1976-01-25,1976,Pre,https://en.wikipedia.org/wiki/Bernard_Heinze,1131318,869777,2004-11-04,1976-01-25,2004,1976,Companion of the Order of Australia,Australia Day 1976 Honours List,G,For eminent achievement and merit of the highest degree in the field of music.,Australian conductor,1,2001-01-15,2001,2004,1389,3,2004-W45,2001-W03,198
Bernard Hesling,Male,Yes,OAM,SA,1985-06-09,1985,Pre,https://en.wikipedia.org/wiki/Bernard_Hesling,37307064,870379,2012-10-13,1985-06-09,2012,1985,Medal of the Order of Australia,The Queen's Birthday 1985 Honours List,G,For service to the arts.,"artist, author (1905-1987)",1,2001-01-15,2001,2012,4289,11,2012-W41,2001-W03,612
Bernard Judd,Male,Yes,OAM,NSW,1993-06-12,1993,Pre,https://en.wikipedia.org/wiki/Bernard_Judd,1924013,885760,2005-05-22,1993-06-12,2005,1993,Medal of the Order of Australia,The Queen's Birthday 1993 Honours List,G,"For service to the community, particularly through the Council of Churches, NSW.",Australian priest,1,2001-01-15,2001,2005,1588,4,2005-W20,2001-W03,226
Bernard Mills,Male,Yes,AC,NSW,1976-06-06,1976,Pre,https://en.wikipedia.org/wiki/Bernard_Mills,36583205,886141,2012-07-30,1976-06-06,2012,1976,Companion of the Order of Australia,The Queen's Birthday 1976 Honours List,G,AC (GENERAL DIVISON) QB 1976,"Engineer, physicist, pioneer of radio astronomy in Australia",1,2001-01-15,2001,2012,4214,11,2012-W31,2001-W03,602
Bernard Salt,Male,Yes,AM,VIC,2017-01-25,2017,Post,https://en.wikipedia.org/wiki/Bernard_Salt,27551152,1154784,2010-05-31,2017-01-25,2010,2017,Member of the Order of Australia,Australia Day 2017 Honours List,G,"For significant service to the community as a demographer, and through research and commentary on social and cultural change.",Australian demographer,1,2017-01-25,2017,2010,-2431,-7,2010-W22,2017-W04,-348
Bernhard Neumann,Male,Yes,AC,ACT,1994-06-09,1994,Pre,https://en.wikipedia.org/wiki/Bernhard_Neumann,5032588,881423,2006-05-07,1994-06-09,2006,1994,Companion of the Order of Australia,The Queen's Birthday 1994 Honours List,G,AC/FOR SERVICE TO THE ADVANCEMENT OF RESEARCH AND TEACHING IN MATHEMATICS. QUEEN'S B'DAY 1994,German-born British mathematician,1,2001-01-15,2001,2006,1938,5,2006-W18,2001-W03,276
Bernie Banton,Male,Yes,AM,NSW,2005-06-12,2005,Post,https://en.wikipedia.org/wiki/Bernie_Banton,6999926,1135904,2006-09-15,2005-06-12,2006,2005,Member of the Order of Australia,The Queen's Birthday 2005 Honours List,G,"For service to the community, particularly as an advocate for people affected by asbestos-related illnesses.",Australian activist (1946-2007),1,2005-06-12,2005,2006,460,1,2006-W37,2005-W23,65
Bernie Dunn,Male,Yes,OAM,VIC,2007-06-10,2007,Post,https://en.wikipedia.org/wiki/Bernie_Dunn,44213079,1134911,2014-10-26,2007-06-10,2014,2007,Medal of the Order of Australia,The Queen's Birthday 2007 Honours List,G,"For service to the Victorian Parliament, local government, the agriculture sector and the community of Horsham.",Australian politician,1,2007-06-10,2007,2014,2695,7,2014-W43,2007-W23,385
Bernie Kilgariff,Male,Yes,AM,NT,1989-06-11,1989,Pre,https://en.wikipedia.org/wiki/Bernie_Kilgariff,2519153,874638,2005-08-23,1996-06-10,2005,1996,Member of the Order of Australia,The Queen's Birthday 1996 Honours List,G,"For continued service to the Northern Territory through the Northern Territory Landcare Council, the Anti-rabbit Research Foundation, the Cattleman's Association, the Australia Day Council and St John Ambulance.",Australian politician (1923-2010),2,2001-01-15,2001,2005,1681,4,2005-W34,2001-W03,240
Berry Durston,Male,Yes,AM,WA,2000-01-25,2000,Pre,https://en.wikipedia.org/wiki/Berry_Durston,58141944,1129685,2018-08-14,2000-01-25,2018,2000,Member of the Order of Australia,Australia Day 2000 Honours List,G,"For service to rowing as a competitor, manager, coach, referee and administrator.","Australian rower, coach and referee",1,2001-01-15,2001,2018,6420,17,2018-W33,2001-W03,917
Bert Newton,Male,Yes,AM,VIC,2006-06-11,2006,Post,https://en.wikipedia.org/wiki/Bert_Newton,1038547,1132951,2004-10-04,2006-06-11,2004,2006,Member of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to the entertainment industry as a presenter, actor and comedian, and through support for a range of medical research and charitable organisations.",Australian television presenter,1,2006-06-11,2006,2004,-615,-2,2004-W41,2006-W23,-88
Bert Shard,Male,Yes,AO,SA,1977-01-25,1977,Pre,https://en.wikipedia.org/wiki/Bert_Shard,44655954,884484,2014-12-10,1977-01-25,2014,1977,Officer of the Order of Australia,Australia Day 1977 Honours List,G,AO (GENERAL DIVISION) AD 1977,Australian trade unionist and politician,1,2001-01-15,2001,2014,5077,13,2014-W50,2001-W03,725
Bertie Brownlow,Male,Yes,OAM,TAS,1984-06-10,1984,Pre,https://en.wikipedia.org/wiki/Bertie_Brownlow,20515129,887008,2008-12-03,1984-06-10,2008,1984,Medal of the Order of Australia,The Queen's Birthday 1984 Honours List,G,"In recognition of service to sport, particularly cricket and hockey",Australian cricketer (1920-2004),1,2001-01-15,2001,2008,2879,7,2008-W49,2001-W03,411
